doc_id,institution_id
D151,I119
D152,I119
D153,I119
D154,I119
D155,I119
D156,I119
D157,I119
D158,I119
D159,I119
D160,I119
D161,I120
D162,I120
D163,I120
D164,I120
D165,I120
D166,I119
D167,I119
D168,I119
D169,I119
D170,I119
D171,I119
D172,I119
D173,I119
D174,I119
D175,I119
D176,I119
D177,I119
D178,I119
D179,I119
D180,I119
D181,I119
D182,I119
D183,I119
D184,I119
D185,I119
D186,I120
D187,I119
D188,I119
D189,I119
D190,I119
D191,I119
D192,I119
D193,I119
D194,I119
D195,I119
D196,I119
D197,I119
D198,I119
D199,I119
D200,I119
